Stock,Buy,Sell
AMM.TO,2.24,2.84
GOOG,775.96,801.3
GZZ.V,0.29,0.37
RDU.V,0.14,0.18
AAPL,108.4,114.47
FB,119.73,141.51
MSFT,55.7,66.06
PLI.TO,2.72,2.9
PYR.V,0.23,0.27
VOW3.DE,118.06,133.52
EPL.V,0.14,0.16
