Stock,Buy,Sell
AMM.TO,1.52,2.0
GOOG,802.96,838.32
GZZ.V,0.29,0.31
RDU.V,0.13,0.15
AAPL,115.87,123.51
MUX.TO,4.03,4.53
FB,129.39,143.73
MSFT,51.79,71.39
TEVA,42.09,45.17
PLI.TO,2.89,3.25
PYR.V,0.18,0.21
EPL.V,0.11,0.12
