Stock,Buy,Sell
AMM.TO,1.26,1.52
GOOG,730.24,869.33
GZZ.V,0.3,0.33
RDU.V,0.1,0.11
AAPL,106.31,124.01
MUX.TO,3.78,4.44
FB,111.04,118.94
MSFT,58.44,71.87
TEVA,33.2,37.22
PLI.TO,2.21,2.32
PYR.V,0.18,0.21
EPL.V,0.15,0.17
