Stock,Buy,Sell
AMM.TO,1.46,1.93
GOOG,793.97,828.93
GZZ.V,0.31,0.33
RDU.V,0.13,0.15
AAPL,116.04,123.69
MUX.TO,4.43,4.98
FB,127.37,141.49
MSFT,48.87,67.36
TEVA,41.5,44.54
PLI.TO,3.04,3.41
PYR.V,0.18,0.21
EPL.V,0.11,0.12
