Stock,Buy,Sell
AMM.TO,1.37,1.71
GOOG,755.01,799.78
GZZ.V,0.32,0.35
RDU.V,0.11,0.14
AAPL,108.4,133.13
MUX.TO,3.55,4.04
FB,115.36,140.82
MSFT,59.09,67.39
TEVA,37.12,39.98
PLI.TO,2.71,2.87
PYR.V,0.18,0.19
EPL.V,0.16,0.17
