Stock,Buy,Sell
AMM.TO,1.59,2.15
GOOG,758.14,769.32
GZZ.V,0.31,0.34
RDU.V,0.12,0.15
AAPL,105.68,109.23
FB,122.77,130.22
PLI.TO,2.72,2.86
PYR.V,0.2,0.22
VOW3.DE,115.33,147.02
EPL.V,0.13,0.15
