Stock,Buy,Sell
AMM.TO,1.27,1.58
GOOG,759.6,804.64
GZZ.V,0.31,0.34
RDU.V,0.1,0.13
AAPL,111.23,136.6
MUX.TO,3.34,3.8
FB,119.4,145.75
MSFT,59.72,68.11
TEVA,36.54,39.35
PLI.TO,2.2,2.34
PYR.V,0.19,0.21
EPL.V,0.15,0.16
