Stock,Buy,Sell
AMM.TO,1.47,1.94
GOOG,776.39,810.58
GZZ.V,0.31,0.33
RDU.V,0.13,0.15
AAPL,113.52,121.01
MUX.TO,4.06,4.57
FB,126.47,140.48
MSFT,49.01,67.55
TEVA,43.65,46.84
PLI.TO,2.8,3.14
PYR.V,0.19,0.23
EPL.V,0.12,0.13
