Stock,Buy,Sell
AMM.TO,1.61,2.06
GOOG,755.85,861.34
GZZ.V,0.31,0.34
RDU.V,0.12,0.15
AAPL,103.75,110.45
FB,122.8,140.79
MSFT,57.84,60.35
PLI.TO,2.73,2.86
PYR.V,0.21,0.25
VOW3.DE,114.91,129.98
EPL.V,0.14,0.16
