Stock,Buy,Sell
AMM.TO,1.46,1.92
GOOG,782.98,817.45
GZZ.V,0.3,0.32
RDU.V,0.12,0.14
AAPL,116.74,124.44
MUX.TO,4.06,4.56
FB,127.5,141.63
MSFT,48.95,67.47
TEVA,43.24,46.41
PLI.TO,2.87,3.22
PYR.V,0.19,0.22
EPL.V,0.12,0.13
