Stock,Buy,Sell
AMM.TO,1.25,1.51
GOOG,724.92,863.01
GZZ.V,0.3,0.33
RDU.V,0.1,0.12
AAPL,106.6,124.33
MUX.TO,3.61,4.24
FB,111.2,119.12
MSFT,58.44,71.87
TEVA,34.28,38.43
PLI.TO,2.29,2.4
PYR.V,0.18,0.21
EPL.V,0.14,0.17
