Stock,Buy,Sell
AMM.TO,1.72,2.34
GOOG,775.55,893.53
GZZ.V,0.33,0.37
RDU.V,0.14,0.17
AAPL,110.86,128.95
MUX.TO,4.93,5.23
FB,125.61,133.32
MSFT,57.01,60.5
TEVA,49.22,54.5
PLI.TO,2.91,3.06
PYR.V,0.16,0.19
EPL.V,0.13,0.14
