Stock,Buy,Sell
AMM.TO,1.67,2.27
GOOG,757.85,873.14
GZZ.V,0.32,0.35
RDU.V,0.15,0.18
AAPL,103.44,120.32
MUX.TO,4.56,4.83
FB,124.72,132.37
MSFT,56.17,59.6
TEVA,49.37,54.67
PLI.TO,2.82,2.95
PYR.V,0.2,0.22
EPL.V,0.14,0.15
