Stock,Buy,Sell
AMM.TO,1.56,1.95
GOOG,766.05,811.47
GZZ.V,0.34,0.37
RDU.V,0.13,0.15
AAPL,108.6,133.38
MUX.TO,3.93,4.47
FB,118.59,144.77
MSFT,58.33,66.53
TEVA,39.39,42.42
PLI.TO,2.61,2.76
PYR.V,0.2,0.22
EPL.V,0.16,0.17
