Stock,Buy,Sell
AMM.TO,1.32,1.59
GOOG,752.72,896.1
GZZ.V,0.3,0.32
RDU.V,0.11,0.12
AAPL,109.71,127.97
MUX.TO,3.68,4.33
FB,113.66,121.75
MSFT,60.27,74.13
TEVA,33.73,37.82
PLI.TO,1.97,2.07
PYR.V,0.18,0.21
EPL.V,0.14,0.16
