Stock,Buy,Sell
AMM.TO,1.6,2.17
GOOG,774.22,891.99
GZZ.V,0.33,0.36
RDU.V,0.13,0.16
AAPL,110.84,128.93
MUX.TO,4.55,4.82
FB,125.3,132.99
MSFT,57.02,60.51
TEVA,46.81,51.83
PLI.TO,2.87,3.02
PYR.V,0.17,0.2
EPL.V,0.11,0.13
