Stock,Buy,Sell
AMM.TO,1.65,2.24
GOOG,756.39,871.45
GZZ.V,0.32,0.35
RDU.V,0.15,0.18
AAPL,103.44,120.32
MUX.TO,4.57,4.84
FB,124.72,132.37
MSFT,56.17,59.6
TEVA,49.79,55.14
PLI.TO,2.82,2.95
PYR.V,0.2,0.23
EPL.V,0.14,0.15
