Stock,Buy,Sell
AMM.TO,2.1,2.37
GOOG,762.9,869.37
GZZ.V,0.31,0.34
RDU.V,0.13,0.15
AAPL,106.24,113.1
FB,121.1,138.83
MSFT,57.15,59.63
PLI.TO,2.69,2.82
PYR.V,0.22,0.26
VOW3.DE,115.0,130.08
EPL.V,0.15,0.17
