Stock,Buy,Sell
AMM.TO,1.43,1.79
GOOG,751.64,796.21
GZZ.V,0.32,0.35
RDU.V,0.12,0.15
AAPL,107.42,131.92
MUX.TO,3.51,4.0
FB,117.53,143.47
MSFT,58.02,66.17
TEVA,39.25,42.27
PLI.TO,2.53,2.68
PYR.V,0.19,0.21
EPL.V,0.15,0.16
