Stock,Buy,Sell
AMM.TO,1.29,1.62
GOOG,758.32,803.29
GZZ.V,0.32,0.35
RDU.V,0.11,0.13
AAPL,111.04,136.37
MUX.TO,3.37,3.83
FB,119.04,145.31
MSFT,59.86,68.27
TEVA,36.73,39.56
PLI.TO,2.5,2.66
PYR.V,0.18,0.2
EPL.V,0.16,0.17
