Stock,Buy,Sell
AMM.TO,1.8,2.44
GOOG,769.71,886.8
GZZ.V,0.32,0.35
RDU.V,0.14,0.17
AAPL,105.52,122.74
FB,125.83,133.55
MSFT,57.29,60.8
PLI.TO,2.81,2.95
PYR.V,0.17,0.2
EPL.V,0.14,0.16
