Stock,Buy,Sell
AMM.TO,1.5,1.98
GOOG,804.21,839.62
GZZ.V,0.29,0.31
RDU.V,0.13,0.15
AAPL,117.35,125.09
MUX.TO,4.29,4.82
FB,129.61,143.96
MSFT,51.54,71.03
TEVA,42.21,45.3
PLI.TO,2.97,3.33
PYR.V,0.18,0.21
EPL.V,0.11,0.12
