Stock,Buy,Sell
AMM.TO,1.49,1.86
GOOG,762.97,808.22
GZZ.V,0.32,0.35
RDU.V,0.13,0.15
AAPL,108.4,133.14
MUX.TO,3.73,4.24
FB,118.38,144.51
MSFT,58.24,66.42
TEVA,39.87,42.93
PLI.TO,2.53,2.68
PYR.V,0.2,0.21
EPL.V,0.16,0.17
