Stock,Buy,Sell
AMM.TO,1.5,1.98
GOOG,805.37,840.83
GZZ.V,0.29,0.31
RDU.V,0.13,0.15
AAPL,115.87,123.51
MUX.TO,4.23,4.75
FB,130.22,144.64
MSFT,51.73,71.29
TEVA,42.2,45.29
PLI.TO,2.97,3.33
PYR.V,0.18,0.21
EPL.V,0.11,0.12
