Stock,Buy,Sell
AMM.TO,1.58,1.97
GOOG,787.43,834.13
GZZ.V,0.31,0.34
RDU.V,0.13,0.15
AAPL,112.69,138.4
MUX.TO,3.91,4.45
FB,129.34,157.89
MSFT,59.0,67.29
TEVA,41.22,44.4
PLI.TO,2.79,2.95
PYR.V,0.18,0.2
EPL.V,0.12,0.13
