Stock,Buy,Sell
AMM.TO,1.46,1.92
GOOG,789.94,824.72
GZZ.V,0.3,0.32
RDU.V,0.13,0.15
AAPL,116.04,123.69
MUX.TO,4.35,4.89
FB,126.94,141.0
MSFT,48.96,67.48
TEVA,40.98,43.98
PLI.TO,2.98,3.34
PYR.V,0.18,0.21
EPL.V,0.11,0.12
