Stock,Buy,Sell
AMM.TO,1.61,2.18
GOOG,763.41,879.54
GZZ.V,0.33,0.36
RDU.V,0.14,0.17
AAPL,111.94,130.21
MUX.TO,4.57,4.85
FB,125.82,133.55
MSFT,56.85,60.32
TEVA,49.58,54.9
PLI.TO,2.91,3.06
PYR.V,0.18,0.21
EPL.V,0.13,0.14
