Stock,Buy,Sell
AMM.TO,1.72,2.34
GOOG,773.19,890.81
GZZ.V,0.33,0.37
RDU.V,0.14,0.17
AAPL,110.86,128.95
MUX.TO,4.97,5.27
FB,125.85,133.58
MSFT,57.13,60.63
TEVA,49.15,54.43
PLI.TO,2.92,3.06
PYR.V,0.18,0.2
EPL.V,0.13,0.14
