Stock,Buy,Sell
AMM.TO,1.46,1.92
GOOG,779.47,813.79
GZZ.V,0.29,0.31
RDU.V,0.12,0.14
AAPL,116.98,124.69
MUX.TO,4.2,4.72
FB,126.26,140.25
MSFT,48.64,67.04
TEVA,42.21,45.3
PLI.TO,2.93,3.29
PYR.V,0.19,0.22
EPL.V,0.12,0.13
