Stock,Buy,Sell
AMM.TO,1.53,2.02
GOOG,774.7,808.81
GZZ.V,0.32,0.34
RDU.V,0.14,0.16
AAPL,113.33,120.8
MUX.TO,4.24,4.77
FB,126.47,140.48
MSFT,49.01,67.55
TEVA,43.85,47.06
PLI.TO,2.78,3.12
PYR.V,0.19,0.23
EPL.V,0.11,0.12
