Stock,Buy,Sell
AMM.TO,1.58,1.98
GOOG,775.69,821.69
GZZ.V,0.34,0.38
RDU.V,0.13,0.15
AAPL,109.71,134.74
MUX.TO,4.14,4.71
FB,121.18,147.93
MSFT,59.1,67.41
TEVA,39.39,42.42
PLI.TO,2.6,2.75
PYR.V,0.2,0.22
EPL.V,0.16,0.17
