Stock,Buy,Sell
AMM.TO,1.62,2.08
GOOG,754.54,859.85
GZZ.V,0.3,0.34
RDU.V,0.12,0.14
AAPL,104.14,110.86
FB,122.41,140.33
MSFT,57.88,60.39
PLI.TO,2.75,2.88
PYR.V,0.22,0.25
VOW3.DE,114.23,129.21
EPL.V,0.14,0.16
