Stock,Buy,Sell
AMM.TO,2.1,2.38
GOOG,765.17,871.95
GZZ.V,0.31,0.35
RDU.V,0.13,0.15
AAPL,106.12,112.96
FB,121.4,139.18
MSFT,57.55,60.05
PLI.TO,2.74,2.87
PYR.V,0.23,0.26
VOW3.DE,116.14,131.38
EPL.V,0.15,0.17
