Stock,Buy,Sell
AMM.TO,1.66,2.08
GOOG,758.32,803.29
GZZ.V,0.34,0.37
RDU.V,0.13,0.16
AAPL,110.06,135.16
MUX.TO,4.14,4.71
FB,123.34,150.56
MSFT,58.35,66.55
TEVA,39.6,42.65
PLI.TO,2.64,2.79
PYR.V,0.2,0.22
EPL.V,0.13,0.14
