Stock,Buy,Sell
AMM.TO,1.63,2.2
GOOG,775.1,893.01
GZZ.V,0.33,0.37
RDU.V,0.14,0.17
AAPL,110.79,128.87
MUX.TO,4.69,4.98
FB,124.77,132.43
MSFT,56.97,60.45
TEVA,49.22,54.5
PLI.TO,2.89,3.03
PYR.V,0.16,0.19
EPL.V,0.13,0.14
