Stock,Buy,Sell
AMM.TO,1.72,2.34
GOOG,773.19,890.81
GZZ.V,0.33,0.37
RDU.V,0.14,0.17
AAPL,111.3,129.46
MUX.TO,4.86,5.15
FB,126.21,133.95
MSFT,56.97,60.46
TEVA,49.15,54.43
PLI.TO,2.92,3.07
PYR.V,0.18,0.2
EPL.V,0.13,0.14
