Stock,Buy,Sell
AMM.TO,1.64,2.05
GOOG,772.23,818.02
GZZ.V,0.33,0.36
RDU.V,0.13,0.16
AAPL,112.2,137.8
MUX.TO,4.05,4.61
FB,127.75,155.94
MSFT,58.95,67.24
TEVA,41.5,44.7
PLI.TO,2.77,2.93
PYR.V,0.19,0.21
EPL.V,0.12,0.13
