Stock,Buy,Sell
AMM.TO,1.8,2.31
GOOG,758.41,864.25
GZZ.V,0.3,0.34
RDU.V,0.12,0.14
AAPL,105.74,112.57
FB,121.61,139.42
MSFT,57.38,59.87
PLI.TO,2.65,2.77
PYR.V,0.21,0.25
VOW3.DE,113.25,128.1
EPL.V,0.14,0.16
