Stock,Buy,Sell
AMM.TO,1.54,2.03
GOOG,774.13,808.22
GZZ.V,0.32,0.34
RDU.V,0.14,0.17
AAPL,113.09,120.55
MUX.TO,4.43,4.98
FB,126.42,140.43
MSFT,48.93,67.44
TEVA,44.15,47.38
PLI.TO,2.79,3.13
PYR.V,0.19,0.22
EPL.V,0.11,0.12
