Stock,Buy,Sell
AMM.TO,1.72,2.21
GOOG,756.62,862.22
GZZ.V,0.3,0.33
RDU.V,0.12,0.14
AAPL,105.48,112.29
FB,121.6,139.4
MSFT,57.41,59.9
PLI.TO,2.72,2.85
PYR.V,0.21,0.25
VOW3.DE,113.41,128.28
EPL.V,0.14,0.16
