Stock,Buy,Sell
AMM.TO,1.61,2.06
GOOG,754.54,859.85
GZZ.V,0.3,0.34
RDU.V,0.11,0.13
AAPL,104.54,111.28
FB,121.65,139.46
MSFT,57.88,60.39
PLI.TO,2.79,2.92
PYR.V,0.22,0.25
VOW3.DE,113.92,128.87
EPL.V,0.14,0.16
