Stock,Buy,Sell
AMM.TO,1.724,2.336
GOOG,767.307,884.033
GZZ.V,0.315,0.346
RDU.V,0.135,0.16
AAPL,104.71,121.797
FB,124.64,132.288
MSFT,57.194,60.694
PLI.TO,2.771,2.909
PYR.V,0.172,0.196
EPL.V,0.141,0.159
