Stock,Buy,Sell
AMM.TO,1.8,2.43
GOOG,765.37,881.8
GZZ.V,0.32,0.35
RDU.V,0.15,0.18
AAPL,103.72,120.64
MUX.TO,4.69,4.98
FB,126.37,134.12
MSFT,56.62,60.09
TEVA,49.37,54.67
PLI.TO,2.83,2.98
PYR.V,0.18,0.21
EPL.V,0.14,0.15
