Stock,Buy,Sell
AMM.TO,1.47,1.94
GOOG,778.97,813.27
GZZ.V,0.31,0.33
RDU.V,0.13,0.15
AAPL,114.97,122.56
MUX.TO,3.99,4.49
FB,127.43,141.55
MSFT,49.33,67.98
TEVA,43.67,46.87
PLI.TO,2.8,3.14
PYR.V,0.19,0.22
EPL.V,0.12,0.13
