Stock,Buy,Sell
AMM.TO,1.46,1.93
GOOG,778.33,812.6
GZZ.V,0.29,0.31
RDU.V,0.12,0.14
AAPL,116.98,124.69
MUX.TO,4.22,4.75
FB,125.91,139.86
MSFT,48.64,67.04
TEVA,41.54,44.58
PLI.TO,2.99,3.36
PYR.V,0.18,0.21
EPL.V,0.11,0.12
