Stock,Buy,Sell
AMM.TO,1.63,2.21
GOOG,763.3,879.41
GZZ.V,0.31,0.34
RDU.V,0.12,0.15
AAPL,104.56,121.63
FB,122.89,130.43
MSFT,57.19,60.69
PLI.TO,2.75,2.89
PYR.V,0.18,0.2
EPL.V,0.14,0.15
