Stock,Buy,Sell
AMM.TO,1.67,2.14
GOOG,754.72,860.05
GZZ.V,0.3,0.33
RDU.V,0.12,0.14
AAPL,104.99,111.77
FB,121.6,139.4
MSFT,57.69,60.2
PLI.TO,2.72,2.85
PYR.V,0.21,0.25
VOW3.DE,113.76,128.68
EPL.V,0.14,0.15
