Stock,Buy,Sell
AMM.TO,1.61,2.12
GOOG,776.56,810.75
GZZ.V,0.34,0.36
RDU.V,0.14,0.17
AAPL,112.83,120.28
MUX.TO,4.62,5.2
FB,126.42,140.43
MSFT,49.14,67.73
TEVA,45.39,48.72
PLI.TO,2.8,3.14
PYR.V,0.19,0.22
EPL.V,0.11,0.12
