Stock,Buy,Sell
AMM.TO,1.62,2.19
GOOG,774.05,891.8
GZZ.V,0.32,0.36
RDU.V,0.13,0.16
AAPL,110.84,128.93
MUX.TO,4.6,4.88
FB,125.31,133.0
MSFT,57.28,60.79
TEVA,46.31,51.28
PLI.TO,2.87,3.01
PYR.V,0.17,0.2
EPL.V,0.11,0.13
