Stock,Buy,Sell
AMM.TO,1.28,1.61
GOOG,758.32,803.29
GZZ.V,0.32,0.35
RDU.V,0.1,0.13
AAPL,111.2,136.57
MUX.TO,3.29,3.74
FB,120.1,146.6
MSFT,59.8,68.2
TEVA,36.64,39.46
PLI.TO,2.35,2.5
PYR.V,0.19,0.21
EPL.V,0.15,0.16
