Stock,Buy,Sell
AMM.TO,1.6,2.17
GOOG,760.66,876.38
GZZ.V,0.31,0.35
RDU.V,0.14,0.17
AAPL,110.0,127.95
MUX.TO,4.63,4.91
FB,124.9,132.56
MSFT,56.4,59.86
TEVA,50.4,55.81
PLI.TO,2.89,3.03
PYR.V,0.18,0.21
EPL.V,0.14,0.15
