Stock,Buy,Sell
AMM.TO,1.44,1.9
GOOG,781.54,815.96
GZZ.V,0.3,0.32
RDU.V,0.12,0.14
AAPL,117.24,124.97
MUX.TO,4.19,4.72
FB,126.74,140.79
MSFT,48.76,67.2
TEVA,42.8,45.94
PLI.TO,2.88,3.24
PYR.V,0.19,0.22
EPL.V,0.12,0.13
