Stock,Buy,Sell
AMM.TO,1.88,2.41
GOOG,761.23,867.47
GZZ.V,0.3,0.34
RDU.V,0.13,0.15
AAPL,105.74,112.57
FB,121.48,139.27
MSFT,57.16,59.65
PLI.TO,2.66,2.78
PYR.V,0.21,0.24
VOW3.DE,112.85,127.65
EPL.V,0.15,0.17
